"CO1_COI.A3C1"	"CO1_COI.A3C2"	"CO1_COI.A3C3"	"CO1_COI.A3C4"	"CO1_COI.A3S1"	"CO1_COI.A3S2"	"CO1_COI.A3S3"	"CO1_COI.A3S4"	"CO1_COI.A3V1"	"CO1_COI.A3V2"	"CO1_COI.A3V3"	"CO1_COI.A3V4"	"CO1_COI.A6C1"	"CO1_COI.A6C2"	"CO1_COI.A6C3"	"CO1_COI.A6C4"	"CO1_COI.A6S1"	"CO1_COI.A6S2"	"CO1_COI.A6S3"	"CO1_COI.A6S4"	"CO1_COI.A6V1"	"CO1_COI.A6V2"	"CO1_COI.A6V3"	"CO1_COI.A6V4"
"forward_CO1_15"	11	7	3	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"forward_CO1_16"	6	8	2	3	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"forward_CO1_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"forward_CO1_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_19"	10	3	3	1	3	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"forward_CO1_20"	7	10	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_23"	12	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_24"	9	9	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_25"	7	5	1	7	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_26"	6	9	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_27"	4	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_28"	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"forward_CO1_29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"forward_CO1_30"	6	1	3	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
"forward_CO1_31"	5	9	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"forward_CO1_32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_34"	6	5	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_36"	3	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_39"	5	4	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
