"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Specie"
"forward_CO1_5858"	"Eukaryota"	"Annelida"	"Polychaeta"	"Spionida"	"Spionidae"	"Polydora"	"Polydora lingshuiensis"
"forward_CO1_5859"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5860"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5861"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5862"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5863"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5864"	"Eukaryota"	"Arthropoda"	"Thecostraca"	"Verrucomorpha"	"Verrucidae"	"Verruca"	"Verruca laevigata"
"forward_CO1_5865"	"Eukaryota"	"Arthropoda"	"Thecostraca"	"Verrucomorpha"	"Verrucidae"	"Verruca"	"Verruca laevigata"
"forward_CO1_5866"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5867"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5868"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_5869"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5870"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5871"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5872"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5873"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5874"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Hippothoidae"	"Celleporella"	"Celleporella hyalina"
"forward_CO1_5875"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_5876"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5877"	"Eukaryota"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	"Pimelia"	"Pimelia costata"
"forward_CO1_5878"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5879"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5880"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5881"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5882"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5883"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5884"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5885"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5886"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5887"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5888"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5889"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5890"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5891"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5892"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5893"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5894"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5895"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5896"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5897"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5898"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5899"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5900"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5901"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5902"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5903"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5904"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5905"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5906"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5907"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5908"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5909"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5910"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5911"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5912"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5913"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5914"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5915"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5916"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5917"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5918"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5919"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5920"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5921"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5922"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5923"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5924"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5925"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5926"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5927"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5928"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5929"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5930"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5931"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5932"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5933"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5934"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5935"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5936"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5937"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5938"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5939"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5940"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5941"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5942"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5943"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5944"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5945"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5946"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5947"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5948"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5949"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_5950"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5951"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5952"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5953"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5954"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5955"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5956"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5957"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5958"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5959"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5960"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5961"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5962"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5963"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5964"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5965"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5966"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5967"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5968"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5969"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5970"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5971"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5972"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5973"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5974"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5975"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5976"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5977"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5978"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5979"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5980"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5981"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5982"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5983"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5984"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5985"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5986"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5987"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5988"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5989"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5990"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Watersiporidae"	"Watersipora"	"Watersipora sp. COI group A"
"forward_CO1_5991"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Watersiporidae"	"Watersipora"	"Watersipora sp. COI group B"
"forward_CO1_5992"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5993"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5994"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5995"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5996"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5997"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5998"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_5999"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6000"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6001"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6002"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6003"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6004"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6005"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6006"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6007"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6008"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6009"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6010"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6011"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6012"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6013"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6014"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6015"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6016"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6017"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6018"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6019"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Sabellariidae"	"Idanthyrsus"	"Idanthyrsus macropalea"
"forward_CO1_6020"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6021"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6022"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6023"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6024"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6025"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6026"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6027"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6028"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6029"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6030"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6031"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6032"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6033"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6034"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6035"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6036"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6037"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6038"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6039"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6040"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6041"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6042"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6043"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6044"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6045"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6046"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6047"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6048"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6049"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6050"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6051"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6052"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6053"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6054"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6055"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6056"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_6057"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
